temps	condition	replicat	concentration
0	0.01108	1	0.848
0	0.01108	2	0.629
0	0.01108	3	0.941
2	0.01108	1	35.8
2	0.01108	2	33.5
2	0.01108	3	29.8
5	0.01108	1	21.6
5	0.01108	2	50.7
5	0.01108	3	28.4
7	0.01108	1	37
7	0.01108	2	60.4
7	0.01108	3	29.4
9	0.01108	1	11.4
9	0.01108	2	15.1
9	0.01108	3	23
15	0.01108	1	12.8
15	0.01108	2	7.8
15	0.01108	3	12.9
21	0.01108	1	9.2
21	0.01108	2	5.9
21	0.01108	3	9.2
