temps	condition	replicat	concentration
0	0.01108	1	0.072
0	0.01108	2	0.061
0	0.01108	3	0.067
2	0.01108	1	3.9
2	0.01108	2	4.2
2	0.01108	3	3.4
5	0.01108	1	3.8
5	0.01108	2	4.4
5	0.01108	3	5.3
7	0.01108	1	6
7	0.01108	2	5.9
7	0.01108	3	5.3
9	0.01108	1	4.1
9	0.01108	2	5.5
9	0.01108	3	5
15	0.01108	1	4.4
15	0.01108	2	3.2
15	0.01108	3	3.8
21	0.01108	1	3.7
21	0.01108	2	2.5
21	0.01108	3	3.3
