temps	condition	replicat	concentration
0	0.01108	1	0.049
0	0.01108	2	0.041
0	0.01108	3	0.054
2	0.01108	1	5.0
2	0.01108	2	3.8
2	0.01108	3	4.3
5	0.01108	1	6.2
5	0.01108	2	6.6
5	0.01108	3	7.8
7	0.01108	1	10
7	0.01108	2	10.3
7	0.01108	3	10.0
9	0.01108	1	8.9
9	0.01108	2	8.3
9	0.01108	3	8
15	0.01108	1	8.1
15	0.01108	2	7.8
15	0.01108	3	6.5
21	0.01108	1	6.5
21	0.01108	2	7.0
21	0.01108	3	7.6
