time;group_1;group_2;group_3;tissue;compound;exposure
12;906.53;858.85;908.52;muscle;UV-329;10
16;1056.08;757.19;941.93;muscle;UV-329;10
20;986.96;1019.33;1058.54;muscle;UV-329;10
24;1128.77;1087.21;888.13;muscle;UV-329;10
28;840.91;908.81;1012.12;muscle;UV-329;10
29;994.86;840.14;840.89;muscle;UV-329;10
32;696.94;545.82;625.66;muscle;UV-329;10
34;556.72;435.99;504.08;muscle;UV-329;10
38;327.3;303.9;387.64;muscle;UV-329;10
42;307.56;242.52;216.75;muscle;UV-329;10
0;0;0;0;ovary;UV-329;10
4;422.15;386.85;361.5;ovary;UV-329;10
8;598.82;570.36;584.59;ovary;UV-329;10
12;750;728.66;864.36;ovary;UV-329;10
16;959.41;838.71;720.47;ovary;UV-329;10
20;940.6;943.12;862.91;ovary;UV-329;10
24;782.48;831.61;1025.23;ovary;UV-329;10
28;968.95;852.53;859.2;ovary;UV-329;10
29;701.7;806.88;542.64;ovary;UV-329;10
32;393.21;350.39;384.31;ovary;UV-329;10
34;347.36;305.18;326.71;ovary;UV-329;10
38;201.34;120.94;244.05;ovary;UV-329;10
42;119.01;96.94;79.99;ovary;UV-329;10
0;0;0;0;intestine;UV-329;10
4;1191.49;903.39;1144.27;intestine;UV-329;10
8;1301.03;1423.5;1316.98;intestine;UV-329;10
12;1889.74;2353.66;1902.36;intestine;UV-329;10
16;2473.4;2338.02;2591.07;intestine;UV-329;10
20;2443.7;2265.36;2519.59;intestine;UV-329;10
24;2409.38;2204.81;2578.38;intestine;UV-329;10
28;2459.49;1818.24;2803.13;intestine;UV-329;10
29;1211.87;1287.51;1273.52;intestine;UV-329;10
32;875.68;540.1;490.56;intestine;UV-329;10
34;850.01;491.18;556.92;intestine;UV-329;10
38;308.69;241.46;395.04;intestine;UV-329;10
42;230.78;189.89;191.81;intestine;UV-329;10
0;0;0;0;skin;UV-329;10
4;1974.47;2495.04;1768.95;skin;UV-329;10
8;2640.34;2569.89;2748.65;skin;UV-329;10
12;3898.73;3117.84;3361.92;skin;UV-329;10
16;4394.13;3782.02;3448.7;skin;UV-329;10
20;4519.1;4132.82;4220.6;skin;UV-329;10
24;3709.24;3769.56;4899.44;skin;UV-329;10
28;4342.55;5024.55;3759.41;skin;UV-329;10
29;4054.99;3239.69;2888.49;skin;UV-329;10
32;3484.47;2251.16;2817.1;skin;UV-329;10
34;2744.88;2034.64;2472.92;skin;UV-329;10
38;1496.93;1338.16;1906.58;skin;UV-329;10
42;1601.67;1328;986.61;skin;UV-329;10
0;0;0;0;kidney;UV-234;10
4;334.88;278.51;363.1;kidney;UV-234;10
8;540.39;618.14;594.36;kidney;UV-234;10
12;1121.53;941.32;1113.39;kidney;UV-234;10
16;1227.19;1600.03;1494.03;kidney;UV-234;10
20;1713.67;1160.2;1709.29;kidney;UV-234;10
24;1590.57;1985.86;2386.37;kidney;UV-234;10
28;2362.71;2014.94;2142.85;kidney;UV-234;10
29;2310.42;1818.13;1959.17;kidney;UV-234;10
32;2216.17;1485.1;2094.67;kidney;UV-234;10
34;1568.91;1469.69;1666.65;kidney;UV-234;10
38;1283.91;1782.14;1295.72;kidney;UV-234;10
42;1060.55;1374.99;1344.14;kidney;UV-234;10
0;0;0;0;liver;UV-234;10
4;1144.91;858.51;689.61;liver;UV-234;10
8;1498.2;1428.9;1703.7;liver;UV-234;10
12;3585.24;2249.45;2403.99;liver;UV-234;10
16;4391.29;4405.5;4073.83;liver;UV-234;10
20;5780.23;3681.27;5740.05;liver;UV-234;10
24;4564.67;5431.16;5748.61;liver;UV-234;10
28;4816.04;3789.66;4640.06;liver;UV-234;10
29;5312.38;3514.56;3327;liver;UV-234;10
32;3064.38;2218.02;2716.78;liver;UV-234;10
34;2505.16;1147.81;2454.58;liver;UV-234;10
38;1358.56;890.78;1548.6;liver;UV-234;10
42;909.19;708.47;566.14;liver;UV-234;10
0;0;0;0;gill;UV-234;10
4;658.01;416.31;528.43;gill;UV-234;10
8;582.03;727.65;761.68;gill;UV-234;10
12;1398.64;1253.6;901.01;gill;UV-234;10
16;1039.99;1867.99;1721.07;gill;UV-234;10
20;1751.8;2030.08;2388;gill;UV-234;10
24;2040.81;2158.15;2705.58;gill;UV-234;10
28;2375.88;2648.25;2705.83;gill;UV-234;10
29;2421.77;1730.67;1989.58;gill;UV-234;10
32;2014.46;1275.95;2305.61;gill;UV-234;10
34;1679.13;1296.32;1630.15;gill;UV-234;10
38;1598.93;1303.02;1498.2;gill;UV-234;10
42;1397.58;1359.92;1121.9;gill;UV-234;10
0;0;0;0;muscle;UV-234;10
4;115.21;117.83;82.11;muscle;UV-234;10
8;114.26;131.79;133.09;muscle;UV-234;10
12;197.01;118.33;180.72;muscle;UV-234;10
16;159.93;212.23;230.95;muscle;UV-234;10
20;214.88;218.41;272.69;muscle;UV-234;10
24;248.14;284.27;212.9;muscle;UV-234;10
28;207.35;253.89;276;muscle;UV-234;10
29;195.77;183.68;162.06;muscle;UV-234;10
32;166.84;91.52;171.06;muscle;UV-234;10
34;129.12;117.47;143.31;muscle;UV-234;10
38;136.1;103.5;110.07;muscle;UV-234;10
42;90.81;92.21;72;muscle;UV-234;10
0;0;0;0;ovary;UV-234;10
4;99.1;82.33;77.87;ovary;UV-234;10
8;244.12;344.49;294.31;ovary;UV-234;10
12;696.79;710.5;491.75;ovary;UV-234;10
16;854.24;1345.7;921.04;ovary;UV-234;10
20;1524.82;1110.41;1104.27;ovary;UV-234;10
24;1208.01;1597.08;1823.36;ovary;UV-234;10
28;1864.75;1578.42;1418.54;ovary;UV-234;10
29;1540.8;1465.7;1230.91;ovary;UV-234;10
32;1619.57;1155.96;1303.77;ovary;UV-234;10
34;1511.8;1270.67;1121.27;ovary;UV-234;10
38;1377.67;972.57;1263.67;ovary;UV-234;10
42;954.41;1058.07;765.34;ovary;UV-234;10
0;0;0;0;intestine;UV-234;10
4;748.86;888.21;783.26;intestine;UV-234;10
8;2159.06;2799.7;2714.72;intestine;UV-234;10
12;3413.11;3057.11;3238.87;intestine;UV-234;10
16;3369.16;3827.16;4342.29;intestine;UV-234;10
20;4437.58;3137.32;4750.96;intestine;UV-234;10
24;3771.88;3398.29;4705.04;intestine;UV-234;10
28;4524.93;2462.18;3751.37;intestine;UV-234;10
29;2962.52;1728.32;1830.55;intestine;UV-234;10
32;1359.95;991.29;721.5;intestine;UV-234;10
34;878.18;967.61;987.64;intestine;UV-234;10
38;518.9;160.62;454.97;intestine;UV-234;10
42;325.68;523;299.28;intestine;UV-234;10
0;0;0;0;skin;UV-234;10
4;87.15;75.72;80.71;skin;UV-234;10
8;240.65;296.96;323.35;skin;UV-234;10
12;610.87;511.37;517.63;skin;UV-234;10
16;741.76;710.14;783.41;skin;UV-234;10
20;1033.78;759.45;905.17;skin;UV-234;10
24;909.72;948.02;1232.73;skin;UV-234;10
28;1178.86;1094.46;965.26;skin;UV-234;10
29;983.01;861.21;939.34;skin;UV-234;10
32;1046.14;615.15;998.76;skin;UV-234;10
34;904.15;747.31;731.21;skin;UV-234;10
38;729.99;716.17;871.21;skin;UV-234;10
42;702.74;848.81;654.44;skin;UV-234;10
0;0;0;0;kidney;UV-P;10
4;756.25;565.29;565.56;kidney;UV-P;10
8;631.97;669.64;712.37;kidney;UV-P;10
12;738.54;514.41;638.24;kidney;UV-P;10
16;785.13;643.1;563.87;kidney;UV-P;10
20;590.3;607.25;746.83;kidney;UV-P;10
24;708.36;823.61;582.7;kidney;UV-P;10
28;766.95;693.87;754.51;kidney;UV-P;10
29;157.01;153.01;203.32;kidney;UV-P;10
32;75.78;46.34;46.41;kidney;UV-P;10
34;52.37;51.81;40.17;kidney;UV-P;10
38;17.72;30.14;26.1;kidney;UV-P;10
42;23.92;18.63;26.74;kidney;UV-P;10
0;0;0;0;liver;UV-P;10
4;2086.12;1484.67;1594.46;liver;UV-P;10
8;1508.5;2221.92;1765.66;liver;UV-P;10
12;2250.19;1832.24;1934.88;liver;UV-P;10
16;1950.92;1873.39;1320.58;liver;UV-P;10
20;1901.14;2088.25;1531.68;liver;UV-P;10
24;1942.22;1572.99;2168.45;liver;UV-P;10
28;2765.55;2003.98;2676.01;liver;UV-P;10
29;889.46;1036.17;575.86;liver;UV-P;10
32;23.5;19.03;22.63;liver;UV-P;10
34;0;0;0;liver;UV-P;10
38;0;0;0;liver;UV-P;10
42;0;0;0;liver;UV-P;10
0;0;0;0;gill;UV-P;10
4;441.81;537.65;450.96;gill;UV-P;10
8;369.3;498.87;510.59;gill;UV-P;10
12;391.5;381.52;386.43;gill;UV-P;10
16;338.65;403.76;496.04;gill;UV-P;10
20;405.35;412.16;548.82;gill;UV-P;10
24;407.64;478.16;509.82;gill;UV-P;10
28;505.15;575.87;497.36;gill;UV-P;10
29;107.64;135.63;121.33;gill;UV-P;10
32;0;0;0;gill;UV-P;10
34;0;0;0;gill;UV-P;10
38;0;0;0;gill;UV-P;10
42;0;0;0;gill;UV-P;10
0;0;0;0;muscle;UV-P;10
4;86.67;70.8;67.92;muscle;UV-P;10
8;89.61;73.57;95.48;muscle;UV-P;10
12;100.34;85.92;105.59;muscle;UV-P;10
16;110.85;83.74;111.72;muscle;UV-P;10
20;90.28;107.53;104.11;muscle;UV-P;10
24;118.44;125.41;135.22;muscle;UV-P;10
28;106.61;123.89;115.74;muscle;UV-P;10
29;31.07;30.31;22.4;muscle;UV-P;10
32;16.69;16.01;18.89;muscle;UV-P;10
34;0;0;0;muscle;UV-P;10
38;0;0;0;muscle;UV-P;10
42;0;0;0;muscle;UV-P;10
0;0;0;0;ovary;UV-P;10
4;73.24;63.45;85.51;ovary;UV-P;10
8;85.73;77.05;55.05;ovary;UV-P;10
12;69.06;86.43;66.43;ovary;UV-P;10
16;86.53;62.15;64.57;ovary;UV-P;10
20;69.79;66.24;71.49;ovary;UV-P;10
24;93.64;75.61;58.75;ovary;UV-P;10
28;72.72;75.12;60.89;ovary;UV-P;10
29;5.67;9.05;2.44;ovary;UV-P;10
32;0;0;0;ovary;UV-P;10
34;0;0;0;ovary;UV-P;10
38;0;0;0;ovary;UV-P;10
42;0;0;0;ovary;UV-P;10
0;0;0;0;intestine;UV-P;10
4;3507.87;4803.51;5207.34;intestine;UV-P;10
8;5920.82;3220.63;4684.78;intestine;UV-P;10
12;4593.49;3235.4;6418.77;intestine;UV-P;10
16;4841.05;3323.41;5598.23;intestine;UV-P;10
20;4328.39;4601.58;4149.62;intestine;UV-P;10
24;5474.55;3938.95;4816.91;intestine;UV-P;10
28;6394.22;4408.05;8011.4;intestine;UV-P;10
29;1237.03;1366.63;1949.75;intestine;UV-P;10
32;0;0;0;intestine;UV-P;10
34;0;0;0;intestine;UV-P;10
38;0;0;0;intestine;UV-P;10
42;0;0;0;intestine;UV-P;10
0;0;0;0;skin;UV-P;10
4;455.89;351.22;348.28;skin;UV-P;10
8;442.29;397.8;398.79;skin;UV-P;10
12;500.02;413.01;338.56;skin;UV-P;10
16;440.93;395.65;405.69;skin;UV-P;10
20;385.31;437.63;392.59;skin;UV-P;10
24;267.31;417.39;462.85;skin;UV-P;10
28;349.36;390.89;295.98;skin;UV-P;10
29;90.87;130.05;118.36;skin;UV-P;10
32;70.24;74.45;78.11;skin;UV-P;10
34;54.65;54.36;48.77;skin;UV-P;10
38;43.98;55.48;67.44;skin;UV-P;10
42;35.45;46.1;54.6;skin;UV-P;10
