param	mean	median	Q2.5	Q97.5
ku1	2601.87929159513	1942.16471216174	0.0139483217108776	12994.9794270284
ke1	0.7056196220583	0.576400637690989	0.000132227849870783	3.17249966326304
ku2	1344.33046378373	1551.45826664921	0.000274239780812813	1802.17268420871
ke2	0.00723557329802321	0.000764609615656493	1.24735917532488e-05	0.0542715625169349
ku3	194.0518364913	0.164325864131358	1.59425330741767e-05	2243.18353700404
ke3	0.346201637313239	0.00889067378121065	1.44750987399088e-05	3.00854606141584
ku4	179.962389437559	0.121872344378312	1.51259662288778e-05	1999.25198800035
ke4	0.214111014532849	0.00410968142580584	1.37241329118982e-05	2.43349409723037
k21	0.0700954251148355	0.00129349060732123	1.26708975650986e-05	0.784111224669734
k12	0.0331866277993009	0.0167864579622638	1.50226336633542e-05	0.113467642945304
k31	0.0466130212803412	0.00248399206851441	1.30200672947268e-05	0.465005578566473
k13	0.493514148064011	0.0343764536625955	1.51872450788282e-05	3.11749301234744
k41	0.0574173747969628	0.00345971649481763	1.31535918048911e-05	0.53798199329181
k14	0.336057349584067	0.032359595394507	1.50723228332318e-05	2.29133110996056
k32	0.0268690241514164	0.00365342503213627	1.38796003108304e-05	0.163465443413133
k23	0.413587160339832	0.010066660491259	1.40990432042618e-05	3.27982910126419
k42	0.0470604823339085	0.0216538088369633	1.76497805144013e-05	0.264767221777886
k24	0.300392033765173	0.0126092903712638	1.50257091403961e-05	2.45450571868537
k43	0.353052950593965	0.01343579610734	1.36068870736289e-05	2.74655055114336
k34	0.179368366419571	0.00852419958335611	1.38159284720018e-05	1.47642035095155
sigma	9.38750679212514	9.33255894157629	7.89131441860898	11.2874102664531
